UID          PID    PPID  C STIME TTY          TIME CMD
alyssay+    1920    1225  0 13:19 ?        00:00:00 /usr/libexec/gvfsd-metadata
alyssay+    1960    1225  0 13:19 ?        00:00:08 /usr/libexec/gnome-terminal-server
alyssay+    1978    1960  0 13:19 pts/0    00:00:00 bash
alyssay+    2051    1396  0 13:19 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.3BKAQ2 -listen 4 -listen 5 -displayfd 6 -initfd 7
alyssay+    2055    1225  0 13:19 ?        00:00:00 /usr/libexec/gsd-xsettings
alyssay+    2082    1225  0 13:19 ?        00:00:00 /usr/libexec/ibus-x11
alyssay+    2266    1362  0 13:20 ?        00:00:00 update-notifier
root        2675       1  1 13:24 ?        00:00:08 /usr/lib/snapd/snapd
alyssay+    2968    1225  0 13:24 ?        00:00:00 /snap/snapd-desktop-integration/157/usr/bin/snapd-desktop-integration
alyssay+    3136    2968  0 13:24 ?        00:00:00 /snap/snapd-desktop-integration/157/usr/bin/snapd-desktop-integration
alyssay+    3198    1396  0 13:25 ?        00:00:01 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1280:800:1:27:0:0:0:0
root        3240       2  0 13:26 ?        00:00:01 [kworker/2:2H-kblockd]
alyssay+    3245    1396 19 13:27 ?        00:02:03 /snap/firefox/3836/usr/lib/firefox/firefox
alyssay+    3480    3245  0 13:27 ?        00:00:00 /snap/firefox/3836/usr/lib/firefox/firefox -contentproc -parentBuildID 20240214103141 -prefsLen 20192 -prefMapSize 233032 -appDir /snap/firefox/3836/usr/lib/firefox/browser {64932774-4361-44ea-ab95-ce6ed8dcc395} 3245 true socket
root        3491       2  0 13:28 ?        00:00:00 [kworker/1:2H-kblockd]
alyssay+    3536    3245  0 13:28 ?        00:00:01 /snap/firefox/3836/usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 22552 -prefMapSize 233032 -jsInitLen 235124 -parentBuildID 20240214103141 -greomni /snap/firefox/3836/usr/lib/firefox/omni.ja -appomni /snap/firefox/3836/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3836/usr/lib/firefox/browser {e5ada3f6-737c-4401-8f0f-388733db757d} 3245 true tab
alyssay+    3564    3245  0 13:28 ?        00:00:05 /snap/firefox/3836/usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 23841 -prefMapSize 233032 -jsInitLen 235124 -parentBuildID 20240214103141 -greomni /snap/firefox/3836/usr/lib/firefox/omni.ja -appomni /snap/firefox/3836/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3836/usr/lib/firefox/browser {c460ab29-4a16-46ec-a89f-e39228072bb8} 3245 true tab
alyssay+    3604    1225  0 13:28 ?        00:00:00 /usr/bin/snap userd
alyssay+    4050    3245  6 13:28 ?        00:00:41 /snap/firefox/3836/usr/lib/firefox/firefox -contentproc -childID 5 -isForBrowser -prefsLen 29279 -prefMapSize 233032 -jsInitLen 235124 -parentBuildID 20240214103141 -greomni /snap/firefox/3836/usr/lib/firefox/omni.ja -appomni /snap/firefox/3836/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3836/usr/lib/firefox/browser {e7fc6ee2-cca8-4814-a134-6f164aeed60e} 3245 true tab
alyssay+    4072    3245  0 13:28 ?        00:00:00 /snap/firefox/3836/usr/lib/firefox/firefox -contentproc -childID 6 -isForBrowser -prefsLen 29338 -prefMapSize 233032 -jsInitLen 235124 -parentBuildID 20240214103141 -greomni /snap/firefox/3836/usr/lib/firefox/omni.ja -appomni /snap/firefox/3836/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3836/usr/lib/firefox/browser {1afb5751-3620-460b-aed8-09ba6d875da2} 3245 true tab
alyssay+    4206    3245  0 13:28 ?        00:00:00 /snap/firefox/3836/usr/lib/firefox/firefox -contentproc -parentBuildID 20240214103141 -sandboxingKind 0 -prefsLen 34161 -prefMapSize 233032 -appDir /snap/firefox/3836/usr/lib/firefox/browser {d68b7585-b056-4262-a09a-55acffeedf75} 3245 true utility
alyssay+    4219    3245  0 13:28 ?        00:00:00 /snap/firefox/3836/usr/lib/firefox/firefox -contentproc -parentBuildID 20240214103141 -prefsLen 34276 -prefMapSize 233032 -appDir /snap/firefox/3836/usr/lib/firefox/browser {c7ff979e-f2f9-43ce-bf16-b152ebb0ca72} 3245 true rdd
alyssay+    4247    3245  0 13:28 ?        00:00:00 /snap/firefox/3836/usr/lib/firefox/firefox -contentproc -childID 7 -isForBrowser -prefsLen 29527 -prefMapSize 233032 -jsInitLen 235124 -parentBuildID 20240214103141 -greomni /snap/firefox/3836/usr/lib/firefox/omni.ja -appomni /snap/firefox/3836/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3836/usr/lib/firefox/browser {e1e30048-b8b0-4e6d-beb9-bfb534df60ab} 3245 true tab
alyssay+    4265    3245  0 13:28 ?        00:00:00 /snap/firefox/3836/usr/lib/firefox/firefox -contentproc -childID 8 -isForBrowser -prefsLen 29527 -prefMapSize 233032 -jsInitLen 235124 -parentBuildID 20240214103141 -greomni /snap/firefox/3836/usr/lib/firefox/omni.ja -appomni /snap/firefox/3836/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3836/usr/lib/firefox/browser {2139ff14-5db8-4b97-9a36-a05e7ceb3bcb} 3245 true tab
root        4295       2  0 13:28 ?        00:00:00 [kworker/3:0]
root        4310       2  0 13:28 ?        00:00:00 [kworker/3:0H-kblockd]
root        4342       2  0 13:30 ?        00:00:01 [kworker/u8:0-ext4-rsv-conversion]
alyssay+    4496    1256  0 13:31 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
alyssay+    4516    1225  1 13:32 ?        00:00:05 /usr/bin/nautilus --gapplication-service
root        4538       2  0 13:32 ?        00:00:00 [kworker/2:2-events]
root        4539       2  0 13:32 ?        00:00:00 [kworker/0:1-cgroup_destroy]
root        5056       2  0 13:37 ?        00:00:00 [kworker/u8:1-events_power_efficient]
alyssay+    5293    1978  0 13:38 pts/0    00:00:00 ps -ef
